cleaned,bigram,trigram
iphone tiru poco,"['iphone tiru', 'tiru poco']",['iphone tiru poco']
bang coba review xiaomi civi pro,"['bang coba', 'coba review', 'review xiaomi', 'xiaomi civi', 'civi pro']","['bang coba review', 'coba review xiaomi', 'review xiaomi civi', 'xiaomi civi pro']"
gimana sih bang ya iyalah gak lubangin kertas bungkusnya pas kameranya layarnya biar gores gores lindungi kertas pembungkusnya sekelas rivewer gak kapikiran kesitu sih,"['gimana sih', 'sih bang', 'bang ya', 'ya iyalah', 'iyalah gak', 'gak lubangin', 'lubangin kertas', 'kertas bungkusnya', 'bungkusnya pas', 'pas kameranya', 'kameranya layarnya', 'layarnya biar', 'biar gores', 'gores gores', 'gores lindungi', 'lindungi kertas', 'kertas pembungkusnya', 'pembungkusnya sekelas', 'sekelas rivewer', 'rivewer gak', 'gak kapikiran', 'kapikiran kesitu', 'kesitu sih']","['gimana sih bang', 'sih bang ya', 'bang ya iyalah', 'ya iyalah gak', 'iyalah gak lubangin', 'gak lubangin kertas', 'lubangin kertas bungkusnya', 'kertas bungkusnya pas', 'bungkusnya pas kameranya', 'pas kameranya layarnya', 'kameranya layarnya biar', 'layarnya biar gores', 'biar gores gores', 'gores gores lindungi', 'gores lindungi kertas', 'lindungi kertas pembungkusnya', 'kertas pembungkusnya sekelas', 'pembungkusnya sekelas rivewer', 'sekelas rivewer gak', 'rivewer gak kapikiran', 'gak kapikiran kesitu', 'kapikiran kesitu sih']"
gak dicoba fitur game pake layar,"['gak dicoba', 'dicoba fitur', 'fitur game', 'game pake', 'pake layar']","['gak dicoba fitur', 'dicoba fitur game', 'fitur game pake', 'game pake layar']"
akhirmya diriview tipe udh masuk indo blm yaaaa,"['akhirmya diriview', 'diriview tipe', 'tipe udh', 'udh masuk', 'masuk indo', 'indo blm', 'blm yaaaa']","['akhirmya diriview tipe', 'diriview tipe udh', 'tipe udh masuk', 'udh masuk indo', 'masuk indo blm', 'indo blm yaaaa']"
ya pake charger w kek series pro,"['ya pake', 'pake charger', 'charger w', 'w kek', 'kek series', 'series pro']","['ya pake charger', 'pake charger w', 'charger w kek', 'w kek series', 'kek series pro']"
gak sabar nunggu oppo findx proo,"['gak sabar', 'sabar nunggu', 'nunggu oppo', 'oppo findx', 'findx proo']","['gak sabar nunggu', 'sabar nunggu oppo', 'nunggu oppo findx', 'oppo findx proo']"
ngelihat ngomong serasa gx netral gadjetin udah menang xiaomi samain ipad apalah wkwk,"['ngelihat ngomong', 'ngomong serasa', 'serasa gx', 'gx netral', 'netral gadjetin', 'gadjetin udah', 'udah menang', 'menang xiaomi', 'xiaomi samain', 'samain ipad', 'ipad apalah', 'apalah wkwk']","['ngelihat ngomong serasa', 'ngomong serasa gx', 'serasa gx netral', 'gx netral gadjetin', 'netral gadjetin udah', 'gadjetin udah menang', 'udah menang xiaomi', 'menang xiaomi samain', 'xiaomi samain ipad', 'samain ipad apalah', 'ipad apalah wkwk']"
apple menangis,['apple menangis'],[]
bnr bang clarity nya bkin kureng sih liatnya pribadi kaya pakein gcam processing nya,"['bnr bang', 'bang clarity', 'clarity nya', 'nya bkin', 'bkin kureng', 'kureng sih', 'sih liatnya', 'liatnya pribadi', 'pribadi kaya', 'kaya pakein', 'pakein gcam', 'gcam processing', 'processing nya']","['bnr bang clarity', 'bang clarity nya', 'clarity nya bkin', 'nya bkin kureng', 'bkin kureng sih', 'kureng sih liatnya', 'sih liatnya pribadi', 'liatnya pribadi kaya', 'pribadi kaya pakein', 'kaya pakein gcam', 'pakein gcam processing', 'gcam processing nya']"
bang davit beli hp bekas unboxing kali dapet diskon pake realme i udah ngelag banget bng,"['bang davit', 'davit beli', 'beli hp', 'hp bekas', 'bekas unboxing', 'unboxing kali', 'kali dapet', 'dapet diskon', 'diskon pake', 'pake realme', 'realme i', 'i udah', 'udah ngelag', 'ngelag banget', 'banget bng']","['bang davit beli', 'davit beli hp', 'beli hp bekas', 'hp bekas unboxing', 'bekas unboxing kali', 'unboxing kali dapet', 'kali dapet diskon', 'dapet diskon pake', 'diskon pake realme', 'pake realme i', 'realme i udah', 'i udah ngelag', 'udah ngelag banget', 'ngelag banget bng']"
iphone niru hp poco,"['iphone niru', 'niru hp', 'hp poco']","['iphone niru hp', 'niru hp poco']"
diam kacamatanya recording video,"['diam kacamatanya', 'kacamatanya recording', 'recording video']","['diam kacamatanya recording', 'kacamatanya recording video']"
bang coba redmi k pro max setuju bantu like,"['bang coba', 'coba redmi', 'redmi k', 'k pro', 'pro max', 'max setuju', 'setuju bantu', 'bantu like']","['bang coba redmi', 'coba redmi k', 'redmi k pro', 'k pro max', 'pro max setuju', 'max setuju bantu', 'setuju bantu like']"
fanboy apple samsung xiaomi gak dapet sih ngejelekin brand mendewakan brand suka,"['fanboy apple', 'apple samsung', 'samsung xiaomi', 'xiaomi gak', 'gak dapet', 'dapet sih', 'sih ngejelekin', 'ngejelekin brand', 'brand mendewakan', 'mendewakan brand', 'brand suka']","['fanboy apple samsung', 'apple samsung xiaomi', 'samsung xiaomi gak', 'xiaomi gak dapet', 'gak dapet sih', 'dapet sih ngejelekin', 'sih ngejelekin brand', 'ngejelekin brand mendewakan', 'brand mendewakan brand', 'mendewakan brand suka']"
mimpi kali hp semoga komen kebeli munkin klo atu stau secepatnya aminin aj ygy,"['mimpi kali', 'kali hp', 'hp semoga', 'semoga komen', 'komen kebeli', 'kebeli munkin', 'munkin klo', 'klo atu', 'atu stau', 'stau secepatnya', 'secepatnya aminin', 'aminin aj', 'aj ygy']","['mimpi kali hp', 'kali hp semoga', 'hp semoga komen', 'semoga komen kebeli', 'komen kebeli munkin', 'kebeli munkin klo', 'munkin klo atu', 'klo atu stau', 'atu stau secepatnya', 'stau secepatnya aminin', 'secepatnya aminin aj', 'aminin aj ygy']"
inimah iniiniini,['inimah iniiniini'],[]
ntar masuk indonesia gak xiaomi,"['ntar masuk', 'masuk indonesia', 'indonesia gak', 'gak xiaomi']","['ntar masuk indonesia', 'masuk indonesia gak', 'indonesia gak xiaomi']"
next request oneplus ya,"['next request', 'request oneplus', 'oneplus ya']","['next request oneplus', 'request oneplus ya']"
om dedy jagat review,"['om dedy', 'dedy jagat', 'jagat review']","['om dedy jagat', 'dedy jagat review']"
mantap sih xiaomi abis liat review gw beli iphone,"['mantap sih', 'sih xiaomi', 'xiaomi abis', 'abis liat', 'liat review', 'review gw', 'gw beli', 'beli iphone']","['mantap sih xiaomi', 'sih xiaomi abis', 'xiaomi abis liat', 'abis liat review', 'liat review gw', 'review gw beli', 'gw beli iphone']"
kebanyakan review negatif cacat hp pinjem review,"['kebanyakan review', 'review negatif', 'negatif cacat', 'cacat hp', 'hp pinjem', 'pinjem review']","['kebanyakan review negatif', 'review negatif cacat', 'negatif cacat hp', 'cacat hp pinjem', 'hp pinjem review']"
xiaomi balas dendam iphone copy desain poco,"['xiaomi balas', 'balas dendam', 'dendam iphone', 'iphone copy', 'copy desain', 'desain poco']","['xiaomi balas dendam', 'balas dendam iphone', 'dendam iphone copy', 'iphone copy desain', 'copy desain poco']"
liat bang xinn sg pake xiaomi kaya ngeblur gitu ya gakaya iphone gtu emng hape guanya jelek,"['liat bang', 'bang xinn', 'xinn sg', 'sg pake', 'pake xiaomi', 'xiaomi kaya', 'kaya ngeblur', 'ngeblur gitu', 'gitu ya', 'ya gakaya', 'gakaya iphone', 'iphone gtu', 'gtu emng', 'emng hape', 'hape guanya', 'guanya jelek']","['liat bang xinn', 'bang xinn sg', 'xinn sg pake', 'sg pake xiaomi', 'pake xiaomi kaya', 'xiaomi kaya ngeblur', 'kaya ngeblur gitu', 'ngeblur gitu ya', 'gitu ya gakaya', 'ya gakaya iphone', 'gakaya iphone gtu', 'iphone gtu emng', 'gtu emng hape', 'emng hape guanya', 'hape guanya jelek']"
review k pro,"['review k', 'k pro']",['review k pro']
anak fomo bagus sih gak anggap kaya,"['anak fomo', 'fomo bagus', 'bagus sih', 'sih gak', 'gak anggap', 'anggap kaya']","['anak fomo bagus', 'fomo bagus sih', 'bagus sih gak', 'sih gak anggap', 'gak anggap kaya']"
gadgetin ya update infonya kaya fresh tolong next cepat updatenya,"['gadgetin ya', 'ya update', 'update infonya', 'infonya kaya', 'kaya fresh', 'fresh tolong', 'tolong next', 'next cepat', 'cepat updatenya']","['gadgetin ya update', 'ya update infonya', 'update infonya kaya', 'infonya kaya fresh', 'kaya fresh tolong', 'fresh tolong next', 'tolong next cepat', 'next cepat updatenya']"
gue upgrade iphone kali gue skip alasannya karenaa desain ip pm jelek bertahan pro max nunggu desain ip pm bagus gue upgrade,"['gue upgrade', 'upgrade iphone', 'iphone kali', 'kali gue', 'gue skip', 'skip alasannya', 'alasannya karenaa', 'karenaa desain', 'desain ip', 'ip pm', 'pm jelek', 'jelek bertahan', 'bertahan pro', 'pro max', 'max nunggu', 'nunggu desain', 'desain ip', 'ip pm', 'pm bagus', 'bagus gue', 'gue upgrade']","['gue upgrade iphone', 'upgrade iphone kali', 'iphone kali gue', 'kali gue skip', 'gue skip alasannya', 'skip alasannya karenaa', 'alasannya karenaa desain', 'karenaa desain ip', 'desain ip pm', 'ip pm jelek', 'pm jelek bertahan', 'jelek bertahan pro', 'bertahan pro max', 'pro max nunggu', 'max nunggu desain', 'nunggu desain ip', 'desain ip pm', 'ip pm bagus', 'pm bagus gue', 'bagus gue upgrade']"
angka sial bang maksudnya sial tuh niat pergi hp lowbat,"['angka sial', 'sial bang', 'bang maksudnya', 'maksudnya sial', 'sial tuh', 'tuh niat', 'niat pergi', 'pergi hp', 'hp lowbat']","['angka sial bang', 'sial bang maksudnya', 'bang maksudnya sial', 'maksudnya sial tuh', 'sial tuh niat', 'tuh niat pergi', 'niat pergi hp', 'pergi hp lowbat']"
review oppo find x pro,"['review oppo', 'oppo find', 'find x', 'x pro']","['review oppo find', 'oppo find x', 'find x pro']"
lucu desain iphin,"['lucu desain', 'desain iphin']",['lucu desain iphin']
ni hp masuk gadgetin,"['ni hp', 'hp masuk', 'masuk gadgetin']","['ni hp masuk', 'hp masuk gadgetin']"
tim hobby update hp xiaomi,"['tim hobby', 'hobby update', 'update hp', 'hp xiaomi']","['tim hobby update', 'hobby update hp', 'update hp xiaomi']"
mending xiaomi,['mending xiaomi'],[]
layar kameranya samsung bet prrtama kali liat krna ex user flip,"['layar kameranya', 'kameranya samsung', 'samsung bet', 'bet prrtama', 'prrtama kali', 'kali liat', 'liat krna', 'krna ex', 'ex user', 'user flip']","['layar kameranya samsung', 'kameranya samsung bet', 'samsung bet prrtama', 'bet prrtama kali', 'prrtama kali liat', 'kali liat krna', 'liat krna ex', 'krna ex user', 'ex user flip']"
kalo salah review make screen maen game casingnya udah keypadnya,"['kalo salah', 'salah review', 'review make', 'make screen', 'screen maen', 'maen game', 'game casingnya', 'casingnya udah', 'udah keypadnya']","['kalo salah review', 'salah review make', 'review make screen', 'make screen maen', 'screen maen game', 'maen game casingnya', 'game casingnya udah', 'casingnya udah keypadnya']"
xiaomi pro max xiaomi nyontek iphone desain kotak isi kotak pro max aneh desain niru iphone asekkkkk display nice snapdragon elite gen tes genshin nya baterai cobain layar pengennya hp sampel selfie pake kamera gimmick sampel kamera pro max xiaomi kesan xiaomi pro max,"['xiaomi pro', 'pro max', 'max xiaomi', 'xiaomi nyontek', 'nyontek iphone', 'iphone desain', 'desain kotak', 'kotak isi', 'isi kotak', 'kotak pro', 'pro max', 'max aneh', 'aneh desain', 'desain niru', 'niru iphone', 'iphone asekkkkk', 'asekkkkk display', 'display nice', 'nice snapdragon', 'snapdragon elite', 'elite gen', 'gen tes', 'tes genshin', 'genshin nya', 'nya baterai', 'baterai cobain', 'cobain layar', 'layar pengennya', 'pengennya hp', 'hp sampel', 'sampel selfie', 'selfie pake', 'pake kamera', 'kamera gimmick', 'gimmick sampel', 'sampel kamera', 'kamera pro', 'pro max', 'max xiaomi', 'xiaomi kesan', 'kesan xiaomi', 'xiaomi pro', 'pro max']","['xiaomi pro max', 'pro max xiaomi', 'max xiaomi nyontek', 'xiaomi nyontek iphone', 'nyontek iphone desain', 'iphone desain kotak', 'desain kotak isi', 'kotak isi kotak', 'isi kotak pro', 'kotak pro max', 'pro max aneh', 'max aneh desain', 'aneh desain niru', 'desain niru iphone', 'niru iphone asekkkkk', 'iphone asekkkkk display', 'asekkkkk display nice', 'display nice snapdragon', 'nice snapdragon elite', 'snapdragon elite gen', 'elite gen tes', 'gen tes genshin', 'tes genshin nya', 'genshin nya baterai', 'nya baterai cobain', 'baterai cobain layar', 'cobain layar pengennya', 'layar pengennya hp', 'pengennya hp sampel', 'hp sampel selfie', 'sampel selfie pake', 'selfie pake kamera', 'pake kamera gimmick', 'kamera gimmick sampel', 'gimmick sampel kamera', 'sampel kamera pro', 'kamera pro max', 'pro max xiaomi', 'max xiaomi kesan', 'xiaomi kesan xiaomi', 'kesan xiaomi pro', 'xiaomi pro max']"
bang bahas samsung a g,"['bang bahas', 'bahas samsung', 'samsung a', 'a g']","['bang bahas samsung', 'bahas samsung a', 'samsung a g']"
thebest xiomi,['thebest xiomi'],[]
kalo masuk indonesia si xiaomi gajadi ambil ip,"['kalo masuk', 'masuk indonesia', 'indonesia si', 'si xiaomi', 'xiaomi gajadi', 'gajadi ambil', 'ambil ip']","['kalo masuk indonesia', 'masuk indonesia si', 'indonesia si xiaomi', 'si xiaomi gajadi', 'xiaomi gajadi ambil', 'gajadi ambil ip']"
vivo x masuk bang,"['vivo x', 'x masuk', 'masuk bang']","['vivo x masuk', 'x masuk bang']"
gw denger xiaomi pro max ekslusif china persaingannya negara infonya global but idk tho,"['gw denger', 'denger xiaomi', 'xiaomi pro', 'pro max', 'max ekslusif', 'ekslusif china', 'china persaingannya', 'persaingannya negara', 'negara infonya', 'infonya global', 'global but', 'but idk', 'idk tho']","['gw denger xiaomi', 'denger xiaomi pro', 'xiaomi pro max', 'pro max ekslusif', 'max ekslusif china', 'ekslusif china persaingannya', 'china persaingannya negara', 'persaingannya negara infonya', 'negara infonya global', 'infonya global but', 'global but idk', 'but idk tho']"
hmm,[],[]
nonton pake samsung s ultra,"['nonton pake', 'pake samsung', 'samsung s', 's ultra']","['nonton pake samsung', 'pake samsung s', 'samsung s ultra']"
niru,[],[]
review oppo find x pro bg,"['review oppo', 'oppo find', 'find x', 'x pro', 'pro bg']","['review oppo find', 'oppo find x', 'find x pro', 'x pro bg']"
jujur layarnya kayak tajem banget,"['jujur layarnya', 'layarnya kayak', 'kayak tajem', 'tajem banget']","['jujur layarnya kayak', 'layarnya kayak tajem', 'kayak tajem banget']"
review kamera langsung suara sma face beda banget ku beda org bang,"['review kamera', 'kamera langsung', 'langsung suara', 'suara sma', 'sma face', 'face beda', 'beda banget', 'banget ku', 'ku beda', 'beda org', 'org bang']","['review kamera langsung', 'kamera langsung suara', 'langsung suara sma', 'suara sma face', 'sma face beda', 'face beda banget', 'beda banget ku', 'banget ku beda', 'ku beda org', 'beda org bang']"
bang review iqoo z r,"['bang review', 'review iqoo', 'iqoo z', 'z r']","['bang review iqoo', 'review iqoo z', 'iqoo z r']"
nunggu unboxing redmi k pro max bang,"['nunggu unboxing', 'unboxing redmi', 'redmi k', 'k pro', 'pro max', 'max bang']","['nunggu unboxing redmi', 'unboxing redmi k', 'redmi k pro', 'k pro max', 'pro max bang']"
kaget dikit,['kaget dikit'],[]
xiaomi k bang antutunya jtan,"['xiaomi k', 'k bang', 'bang antutunya', 'antutunya jtan']","['xiaomi k bang', 'k bang antutunya', 'bang antutunya jtan']"
asumsi xiaomi langsung loncat seri mlh bentuk kekecewaan xiaomi apple benak xiaomi lo kiblatnya gadget bnyk orang tertarik ama produk lu napa seri gak inovasi mengubah body xiaomi lo inovasi jgn masukin hati ya fans apple opini gue,"['asumsi xiaomi', 'xiaomi langsung', 'langsung loncat', 'loncat seri', 'seri mlh', 'mlh bentuk', 'bentuk kekecewaan', 'kekecewaan xiaomi', 'xiaomi apple', 'apple benak', 'benak xiaomi', 'xiaomi lo', 'lo kiblatnya', 'kiblatnya gadget', 'gadget bnyk', 'bnyk orang', 'orang tertarik', 'tertarik ama', 'ama produk', 'produk lu', 'lu napa', 'napa seri', 'seri gak', 'gak inovasi', 'inovasi mengubah', 'mengubah body', 'body xiaomi', 'xiaomi lo', 'lo inovasi', 'inovasi jgn', 'jgn masukin', 'masukin hati', 'hati ya', 'ya fans', 'fans apple', 'apple opini', 'opini gue']","['asumsi xiaomi langsung', 'xiaomi langsung loncat', 'langsung loncat seri', 'loncat seri mlh', 'seri mlh bentuk', 'mlh bentuk kekecewaan', 'bentuk kekecewaan xiaomi', 'kekecewaan xiaomi apple', 'xiaomi apple benak', 'apple benak xiaomi', 'benak xiaomi lo', 'xiaomi lo kiblatnya', 'lo kiblatnya gadget', 'kiblatnya gadget bnyk', 'gadget bnyk orang', 'bnyk orang tertarik', 'orang tertarik ama', 'tertarik ama produk', 'ama produk lu', 'produk lu napa', 'lu napa seri', 'napa seri gak', 'seri gak inovasi', 'gak inovasi mengubah', 'inovasi mengubah body', 'mengubah body xiaomi', 'body xiaomi lo', 'xiaomi lo inovasi', 'lo inovasi jgn', 'inovasi jgn masukin', 'jgn masukin hati', 'masukin hati ya', 'hati ya fans', 'ya fans apple', 'fans apple opini', 'apple opini gue']"
bikin ragu android tau pemakaian gacor selang pemakaian tahunan performanya menurun banding ip stabil,"['bikin ragu', 'ragu android', 'android tau', 'tau pemakaian', 'pemakaian gacor', 'gacor selang', 'selang pemakaian', 'pemakaian tahunan', 'tahunan performanya', 'performanya menurun', 'menurun banding', 'banding ip', 'ip stabil']","['bikin ragu android', 'ragu android tau', 'android tau pemakaian', 'tau pemakaian gacor', 'pemakaian gacor selang', 'gacor selang pemakaian', 'selang pemakaian tahunan', 'pemakaian tahunan performanya', 'tahunan performanya menurun', 'performanya menurun banding', 'menurun banding ip', 'banding ip stabil']"
bismillah kebeli amin ya allah,"['bismillah kebeli', 'kebeli amin', 'amin ya', 'ya allah']","['bismillah kebeli amin', 'kebeli amin ya', 'amin ya allah']"
membanting harga iphone,"['membanting harga', 'harga iphone']",['membanting harga iphone']
bangga pake poco x karna dipasang background riview hehhee,"['bangga pake', 'pake poco', 'poco x', 'x karna', 'karna dipasang', 'dipasang background', 'background riview', 'riview hehhee']","['bangga pake poco', 'pake poco x', 'poco x karna', 'x karna dipasang', 'karna dipasang background', 'dipasang background riview', 'background riview hehhee']"
bang review hp second budegt jt stabilitas video terbaik,"['bang review', 'review hp', 'hp second', 'second budegt', 'budegt jt', 'jt stabilitas', 'stabilitas video', 'video terbaik']","['bang review hp', 'review hp second', 'hp second budegt', 'second budegt jt', 'budegt jt stabilitas', 'jt stabilitas video', 'stabilitas video terbaik']"
please tambahin pembahasan zoom video recorder dibahas chanel gadgetin zoom foto bahas zoom rekam video bagiku next konten tambahin pembahasan zoom perekaman video zoom maksimal kali,"['please tambahin', 'tambahin pembahasan', 'pembahasan zoom', 'zoom video', 'video recorder', 'recorder dibahas', 'dibahas chanel', 'chanel gadgetin', 'gadgetin zoom', 'zoom foto', 'foto bahas', 'bahas zoom', 'zoom rekam', 'rekam video', 'video bagiku', 'bagiku next', 'next konten', 'konten tambahin', 'tambahin pembahasan', 'pembahasan zoom', 'zoom perekaman', 'perekaman video', 'video zoom', 'zoom maksimal', 'maksimal kali']","['please tambahin pembahasan', 'tambahin pembahasan zoom', 'pembahasan zoom video', 'zoom video recorder', 'video recorder dibahas', 'recorder dibahas chanel', 'dibahas chanel gadgetin', 'chanel gadgetin zoom', 'gadgetin zoom foto', 'zoom foto bahas', 'foto bahas zoom', 'bahas zoom rekam', 'zoom rekam video', 'rekam video bagiku', 'video bagiku next', 'bagiku next konten', 'next konten tambahin', 'konten tambahin pembahasan', 'tambahin pembahasan zoom', 'pembahasan zoom perekaman', 'zoom perekaman video', 'perekaman video zoom', 'video zoom maksimal', 'zoom maksimal kali']"
terbaik ni hp smoga secptnya dptkan hp gasssss,"['terbaik ni', 'ni hp', 'hp smoga', 'smoga secptnya', 'secptnya dptkan', 'dptkan hp', 'hp gasssss']","['terbaik ni hp', 'ni hp smoga', 'hp smoga secptnya', 'smoga secptnya dptkan', 'secptnya dptkan hp', 'dptkan hp gasssss']"
gue keturutan nungguin bang david review xiaomi pro max,"['gue keturutan', 'keturutan nungguin', 'nungguin bang', 'bang david', 'david review', 'review xiaomi', 'xiaomi pro', 'pro max']","['gue keturutan nungguin', 'keturutan nungguin bang', 'nungguin bang david', 'bang david review', 'david review xiaomi', 'review xiaomi pro', 'xiaomi pro max']"
suara hasil perekaman video hpnya kek mendem gitu bang,"['suara hasil', 'hasil perekaman', 'perekaman video', 'video hpnya', 'hpnya kek', 'kek mendem', 'mendem gitu', 'gitu bang']","['suara hasil perekaman', 'hasil perekaman video', 'perekaman video hpnya', 'video hpnya kek', 'hpnya kek mendem', 'kek mendem gitu', 'mendem gitu bang']"
casing gamingnya gadibahas,"['casing gamingnya', 'gamingnya gadibahas']",['casing gamingnya gadibahas']
redmi k pro max bang,"['redmi k', 'k pro', 'pro max', 'max bang']","['redmi k pro', 'k pro max', 'pro max bang']"
kolab iqbal bang,"['kolab iqbal', 'iqbal bang']",['kolab iqbal bang']
bahas hyper os,"['bahas hyper', 'hyper os']",['bahas hyper os']
king mu,['king mu'],[]
hmm xiaomi sengaja keluarin hp terbaru bersamaan iphone biar dibilang niru desain iphone,"['hmm xiaomi', 'xiaomi sengaja', 'sengaja keluarin', 'keluarin hp', 'hp terbaru', 'terbaru bersamaan', 'bersamaan iphone', 'iphone biar', 'biar dibilang', 'dibilang niru', 'niru desain', 'desain iphone']","['hmm xiaomi sengaja', 'xiaomi sengaja keluarin', 'sengaja keluarin hp', 'keluarin hp terbaru', 'hp terbaru bersamaan', 'terbaru bersamaan iphone', 'bersamaan iphone biar', 'iphone biar dibilang', 'biar dibilang niru', 'dibilang niru desain', 'niru desain iphone']"
kabar,[],[]
trus layar luas klo layar kecuali z fold z flip,"['trus layar', 'layar luas', 'luas klo', 'klo layar', 'layar kecuali', 'kecuali z', 'z fold', 'fold z', 'z flip']","['trus layar luas', 'layar luas klo', 'luas klo layar', 'klo layar kecuali', 'layar kecuali z', 'kecuali z fold', 'z fold z', 'fold z flip']"
camera utama cakep banget yah pas pinda lwnsa uw bagusan iphone yah mp si xioami gede yah mp masak kalah mp uw ny apple,"['camera utama', 'utama cakep', 'cakep banget', 'banget yah', 'yah pas', 'pas pinda', 'pinda lwnsa', 'lwnsa uw', 'uw bagusan', 'bagusan iphone', 'iphone yah', 'yah mp', 'mp si', 'si xioami', 'xioami gede', 'gede yah', 'yah mp', 'mp masak', 'masak kalah', 'kalah mp', 'mp uw', 'uw ny', 'ny apple']","['camera utama cakep', 'utama cakep banget', 'cakep banget yah', 'banget yah pas', 'yah pas pinda', 'pas pinda lwnsa', 'pinda lwnsa uw', 'lwnsa uw bagusan', 'uw bagusan iphone', 'bagusan iphone yah', 'iphone yah mp', 'yah mp si', 'mp si xioami', 'si xioami gede', 'xioami gede yah', 'gede yah mp', 'yah mp masak', 'mp masak kalah', 'masak kalah mp', 'kalah mp uw', 'mp uw ny', 'uw ny apple']"
bg review redmi k pro max,"['bg review', 'review redmi', 'redmi k', 'k pro', 'pro max']","['bg review redmi', 'review redmi k', 'redmi k pro', 'k pro max']"
bg review,['bg review'],[]
udh bahasa indonya ya,"['udh bahasa', 'bahasa indonya', 'indonya ya']","['udh bahasa indonya', 'bahasa indonya ya']"
pengeeeeeeennn punyaku xiomi poco x pro,"['pengeeeeeeennn punyaku', 'punyaku xiomi', 'xiomi poco', 'poco x', 'x pro']","['pengeeeeeeennn punyaku xiomi', 'punyaku xiomi poco', 'xiomi poco x', 'poco x pro']"
xiaomi ultra udah pake design kaya gitu,"['xiaomi ultra', 'ultra udah', 'udah pake', 'pake design', 'design kaya', 'kaya gitu']","['xiaomi ultra udah', 'ultra udah pake', 'udah pake design', 'pake design kaya', 'design kaya gitu']"
kemarin bahas xm t pro nunggu nunggu t reguler dibahas engga biar tau bedanya gimana,"['kemarin bahas', 'bahas xm', 'xm t', 't pro', 'pro nunggu', 'nunggu nunggu', 'nunggu t', 't reguler', 'reguler dibahas', 'dibahas engga', 'engga biar', 'biar tau', 'tau bedanya', 'bedanya gimana']","['kemarin bahas xm', 'bahas xm t', 'xm t pro', 't pro nunggu', 'pro nunggu nunggu', 'nunggu nunggu t', 'nunggu t reguler', 't reguler dibahas', 'reguler dibahas engga', 'dibahas engga biar', 'engga biar tau', 'biar tau bedanya', 'tau bedanya gimana']"
jirr lbih ok xiaomi sih teknologinya lbih ok,"['jirr lbih', 'lbih ok', 'ok xiaomi', 'xiaomi sih', 'sih teknologinya', 'teknologinya lbih', 'lbih ok']","['jirr lbih ok', 'lbih ok xiaomi', 'ok xiaomi sih', 'xiaomi sih teknologinya', 'sih teknologinya lbih', 'teknologinya lbih ok']"
bentar kuadrat ya,"['bentar kuadrat', 'kuadrat ya']",['bentar kuadrat ya']
teknik marketing mungkinkalo search pro max tuh brand xiaomi iphone,"['teknik marketing', 'marketing mungkinkalo', 'mungkinkalo search', 'search pro', 'pro max', 'max tuh', 'tuh brand', 'brand xiaomi', 'xiaomi iphone']","['teknik marketing mungkinkalo', 'marketing mungkinkalo search', 'mungkinkalo search pro', 'search pro max', 'pro max tuh', 'max tuh brand', 'tuh brand xiaomi', 'brand xiaomi iphone']"
value hp iphone tergantikan bray,"['value hp', 'hp iphone', 'iphone tergantikan', 'tergantikan bray']","['value hp iphone', 'hp iphone tergantikan', 'iphone tergantikan bray']"
apalah daya beli tecno pova g kl uang beli xiaomi pro max ketimbang iphone samsung suka hp keluaran cina apapun mereknya,"['apalah daya', 'daya beli', 'beli tecno', 'tecno pova', 'pova g', 'g kl', 'kl uang', 'uang beli', 'beli xiaomi', 'xiaomi pro', 'pro max', 'max ketimbang', 'ketimbang iphone', 'iphone samsung', 'samsung suka', 'suka hp', 'hp keluaran', 'keluaran cina', 'cina apapun', 'apapun mereknya']","['apalah daya beli', 'daya beli tecno', 'beli tecno pova', 'tecno pova g', 'pova g kl', 'g kl uang', 'kl uang beli', 'uang beli xiaomi', 'beli xiaomi pro', 'xiaomi pro max', 'pro max ketimbang', 'max ketimbang iphone', 'ketimbang iphone samsung', 'iphone samsung suka', 'samsung suka hp', 'suka hp keluaran', 'hp keluaran cina', 'keluaran cina apapun', 'cina apapun mereknya']"
negara chin ny make hp,"['negara chin', 'chin ny', 'ny make', 'make hp']","['negara chin ny', 'chin ny make', 'ny make hp']"
ip nya kpn bg,"['ip nya', 'nya kpn', 'kpn bg']","['ip nya kpn', 'nya kpn bg']"
whats up with the color grading,"['whats up', 'up with', 'with the', 'the color', 'color grading']","['whats up with', 'up with the', 'with the color', 'the color grading']"
desain belakangnya kayak zte blade a,"['desain belakangnya', 'belakangnya kayak', 'kayak zte', 'zte blade', 'blade a']","['desain belakangnya kayak', 'belakangnya kayak zte', 'kayak zte blade', 'zte blade a']"
argh tertawa,['argh tertawa'],[]
masuk indo ya,"['masuk indo', 'indo ya']",['masuk indo ya']
